================================================================================
STDOUT:
================================================================================
[Train Wrapper] Repository: repos/MRT-OAST
[Train Wrapper] Training script: ./train.sh
[Train Wrapper] Log file: results/run_20251214_160925/MRT-OAST_default_032_parallel/training.log
[Train Wrapper] Energy directory: results/run_20251214_160925/MRT-OAST_default_032_parallel/energy
[Train Wrapper] Arguments: --weight-decay 0.000629
[Train Wrapper] Changed to directory: /home/green/energy_dl/nightly/repos/MRT-OAST
[Train Wrapper] Starting GPU monitoring...
[Train Wrapper] GPU monitoring PID: 3656334
[Train Wrapper] Starting training with integrated energy monitoring...
[Train Wrapper] Command: ./train.sh --weight-decay 0.000629
========================================
[0;34m[INFO][0m ====== 训练配置 ======
数据集: OJClone
AST类型: OAST
训练轮数: 10
批次大小: 64
学习率: 0.0001
最大序列长度: 256
Transformer层数: 2
模型维度: 128
前馈维度: 512
注意力头数: 8
Dropout: 0.2
权重衰减: 0.000629
随机种子: 1334
GPU: 启用
模型保存路径: model/BTransfrom_MRT_len256_batch64_OJClone_OAST
日志文件: logs/train_OJClone_20251215_142942.log
======================
[0;34m[INFO][0m 开始训练...

Dict Size: 113
---------------------------------------
Start Processed Data
---------------------------------------
Processed Amount 1000
Processed Amount 2000
Processed Amount 3000
Processed Amount 4000
Processed Amount 5000
Processed Amount 6000
Processed Amount 7000
---------------------------------------
Finish Processed Data, Total:  7500  avg code line:  35.921866666666666
max len:  2984  min len:  1  avg len:  61.001733333333334
max depth:  108  min depth:  2 avg depth:  11.049333333333333
avg selection nodes:  2.9629333333333334
avg loop nodes:  3.9336
---------------------------------------
Process -> origindata/OJClone_train.csv Pair Amount: 40000
Analyze -> | Pair Amount[0,1]: [19983, 20017] {0.9983:1} | Out of [8,256]: 989
Process -> origindata/OJClone_valid.csv Pair Amount: 5000
Analyze -> | Pair Amount[0,1]: [2493, 2507] {0.9944:1} | Out of [8,256]: 110
Process -> origindata/OJClone_test.csv Pair Amount: 5000
Analyze -> | Pair Amount[0,1]: [2580, 2420] {1.0661:1} | Out of [8,256]: 129

  0%|          | 0/6250 [00:00<?, ?it/s]
  0%|          | 0/6250 [00:01<?, ?it/s, loss=0.995372, lr=0.000000]
  0%|          | 1/6250 [00:01<3:03:03,  1.76s/it, loss=0.995372, lr=0.000000]
  0%|          | 1/6250 [00:01<3:03:03,  1.76s/it, loss=0.853453, lr=0.000000]
  0%|          | 2/6250 [00:01<1:29:26,  1.16it/s, loss=0.853453, lr=0.000000]
  0%|          | 2/6250 [00:02<1:29:26,  1.16it/s, loss=1.059982, lr=0.000000]
  0%|          | 3/6250 [00:02<59:50,  1.74it/s, loss=1.059982, lr=0.000000]  
  0%|          | 3/6250 [00:02<59:50,  1.74it/s, loss=0.933985, lr=0.000000]
  0%|          | 4/6250 [00:02<46:04,  2.26it/s, loss=0.933985, lr=0.000000]
  0%|          | 4/6250 [00:02<46:04,  2.26it/s, loss=1.036568, lr=0.000000]
  0%|          | 5/6250 [00:02<38:30,  2.70it/s, loss=1.036568, lr=0.000000]
  0%|          | 5/6250 [00:02<38:30,  2.70it/s, loss=1.117762, lr=0.000000]
  0%|          | 6/6250 [00:02<33:57,  3.06it/s, loss=1.117762, lr=0.000000]
  0%|          | 6/6250 [00:03<33:57,  3.06it/s, loss=0.907570, lr=0.000001]
  0%|          | 7/6250 [00:03<31:01,  3.35it/s, loss=0.907570, lr=0.000001]
  0%|          | 7/6250 [00:03<31:01,  3.35it/s, loss=1.020348, lr=0.000001]
  0%|          | 8/6250 [00:03<29:06,  3.57it/s, loss=1.020348, lr=0.000001]
  0%|          | 8/6250 [00:03<29:06,  3.57it/s, loss=1.033594, lr=0.000001]
  0%|          | 9/6250 [00:03<27:50,  3.73it/s, loss=1.033594, lr=0.000001]
  0%|          | 9/6250 [00:03<27:50,  3.73it/s, loss=0.765439, lr=0.000001]
  0%|          | 10/6250 [00:03<26:59,  3.85it/s, loss=0.765439, lr=0.000001]
  0%|          | 10/6250 [00:04<26:59,  3.85it/s, loss=0.968934, lr=0.000001]
  0%|          | 11/6250 [00:04<26:19,  3.95it/s, loss=0.968934, lr=0.000001]
  0%|          | 11/6250 [00:04<26:19,  3.95it/s, loss=0.898109, lr=0.000001]
  0%|          | 12/6250 [00:04<25:53,  4.02it/s, loss=0.898109, lr=0.000001]
  0%|          | 12/6250 [00:04<25:53,  4.02it/s, loss=1.067330, lr=0.000001]
  0%|          | 13/6250 [00:04<25:34,  4.06it/s, loss=1.067330, lr=0.000001]
  0%|          | 13/6250 [00:04<25:34,  4.06it/s, loss=0.875697, lr=0.000001]
  0%|          | 14/6250 [00:04<25:22,  4.10it/s, loss=0.875697, lr=0.000001]
