source,target,weight,strength,source_category,target_category
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.5399999618530273,0.5399999618530273,energy,energy
energy_cpu_pkg_joules,energy_cpu_total_joules,0.5,0.5,energy,energy
energy_cpu_ram_joules,energy_cpu_pkg_joules,0.3599999845027923,0.3599999845027923,energy,energy
energy_cpu_ram_joules,energy_cpu_total_joules,0.4199999868869781,0.4199999868869781,energy,energy
energy_cpu_ram_joules,energy_gpu_min_watts,0.3799999952316284,0.3799999952316284,energy,energy
energy_cpu_ram_joules,energy_gpu_total_joules,0.5199999809265137,0.5199999809265137,energy,energy
energy_cpu_total_joules,energy_cpu_pkg_joules,0.5,0.5,energy,energy
energy_cpu_total_joules,energy_cpu_ram_joules,0.4399999976158142,0.4399999976158142,energy,energy
energy_cpu_total_joules,energy_gpu_total_joules,0.3199999928474426,0.3199999928474426,energy,energy
energy_gpu_avg_watts,energy_gpu_max_watts,0.4399999976158142,0.4399999976158142,energy,energy
energy_gpu_avg_watts,energy_gpu_min_watts,0.4399999976158142,0.4399999976158142,energy,energy
energy_gpu_max_watts,energy_gpu_avg_watts,0.5600000023841858,0.5600000023841858,energy,energy
energy_gpu_max_watts,energy_gpu_total_joules,0.3599999845027923,0.3599999845027923,energy,energy
energy_gpu_min_watts,energy_gpu_avg_watts,0.3400000035762787,0.3400000035762787,energy,energy
energy_gpu_temp_avg_celsius,energy_gpu_avg_watts,0.3999999761581421,0.3999999761581421,mediator,energy
energy_gpu_temp_avg_celsius,energy_gpu_max_watts,0.3400000035762787,0.3400000035762787,mediator,energy
energy_gpu_temp_avg_celsius,energy_gpu_min_watts,0.6399999856948853,0.6399999856948853,mediator,energy
energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,0.4399999976158142,0.4399999976158142,mediator,mediator
energy_gpu_temp_avg_celsius,energy_gpu_util_avg_percent,0.3199999928474426,0.3199999928474426,mediator,mediator
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.5199999809265137,0.5199999809265137,mediator,mediator
energy_gpu_util_avg_percent,energy_cpu_ram_joules,0.4199999868869781,0.4199999868869781,mediator,energy
energy_gpu_util_avg_percent,energy_gpu_max_watts,0.3599999845027923,0.3599999845027923,mediator,energy
energy_gpu_util_avg_percent,energy_gpu_total_joules,0.5,0.5,mediator,energy
energy_gpu_util_avg_percent,energy_gpu_util_max_percent,0.5399999618530273,0.5399999618530273,mediator,mediator
energy_gpu_util_max_percent,energy_gpu_max_watts,0.3599999845027923,0.3599999845027923,mediator,energy
energy_gpu_util_max_percent,energy_gpu_total_joules,0.6200000047683716,0.6200000047683716,mediator,energy
energy_gpu_util_max_percent,energy_gpu_temp_max_celsius,0.3400000035762787,0.3400000035762787,mediator,mediator
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.4399999976158142,0.4399999976158142,mediator,mediator
is_parallel,energy_gpu_avg_watts,0.3199999928474426,0.3199999928474426,mode,energy
is_parallel,energy_gpu_max_watts,0.4199999868869781,0.4199999868869781,mode,energy
is_parallel,energy_gpu_temp_max_celsius,0.4399999976158142,0.4399999976158142,mode,mediator
is_parallel,energy_gpu_util_max_percent,0.4399999976158142,0.4399999976158142,mode,mediator
