perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds,is_parallel,num_mutated_params
0.729200005531311,0.8187,49.148,212509.17,14265.12,226774.29,240.4114132503028,319.27,79.92,1389818.3800000006,78.72963155163467,84.0,91.92285071786888,100.0,5932.156472921372,True,0.0
0.7002695798873901,0.711,49.256,109321.45,7296.02,116617.47,226.83973684210557,318.22,89.3,672352.9800000008,78.85560053981106,84.0,91.21457489878544,100.0,3041.469727754593,True,0.0
0.701705813407898,0.7059,49.012,201953.97,13514.57,215468.54,230.55586263435995,318.81,89.62,1265521.1300000018,79.42831116779013,84.0,91.79431590453636,100.0,5633.400706291199,True,0.0
0.8466476202011108,0.708,49.127,241416.4,16126.92,257543.32,233.907870102149,319.72,89.09,1534201.7199999953,79.32977588046958,84.0,91.87162677237384,100.0,6729.83655166626,True,0.0
0.7066717147827148,0.7466,49.144,136565.48,9223.67,145789.15,229.88650364766232,318.79,89.27,850809.9499999982,78.95379627127804,84.0,91.89732504728453,100.0,3798.1448016166687,True,0.0
0.7066717147827148,0.7466,48.878,135927.81,9304.29,145232.1,237.65282732447756,318.98,89.03,876701.2799999976,79.11873136351315,84.0,91.74844131200868,100.0,3786.358268022537,True,0.0
0.7066717147827148,0.7466,49.141,135642.87,9217.14,144860.01,237.91010589193596,319.46,89.0,876222.92,78.95574260114037,84.0,91.72386641325006,100.0,3779.654055595398,True,0.0
0.7066717147827148,0.7466,49.095,135441.35,9161.3,144602.65,239.89235582154464,318.93,88.89,881844.2999999981,79.16947769314473,84.0,91.75108813928183,100.0,3772.620518684387,True,0.0
0.7912367582321167,0.7996,51.78,134041.97,9090.51,143132.48,241.9666694146747,319.13,88.96,880516.7100000012,79.4712833195933,84.0,91.43638362187414,100.0,3734.49330163002,True,0.0
0.8963995575904846,0.7721,54.73,134269.63,9242.51,143512.14,241.39537681556607,319.11,88.52,880851.7300000008,79.49054535489175,84.0,91.38366675801588,100.0,3745.01029419899,True,0.0
0.6914843916893005,0.7173,54.473,133961.27,9153.49,143114.76,242.33988209487177,319.05,88.35,883813.5499999974,79.8590622429394,84.0,91.40471620510009,100.0,3742.472645998001,True,0.0
0.7020828127861023,0.8024,49.255,135011.86,9256.11,144267.97,239.44411299126668,319.12,87.65,877323.2300000011,79.4650655021834,84.0,91.41075327510916,100.0,3760.077041864395,True,0.0
