experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,training_duration,l2_regularization,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation
default__MRT-OAST_default_001,2025-11-18T20:37:37.187907,MRT-OAST,default,False,True,1267.3227665424347,0,Training completed successfully,,,0.2,10.0,,0.0001,,1334.0,0.0,,,,0.9834,,,0.808854,,,,,,,,,,37083.15,2904.51,39987.66,270.25759771986947,318.31,66.75,331876.3299999997,77.91042345276873,83.0,92.68485342019544,97.0,default,0.0,,,,,,,,,,10.0,0.0,92.68485342019544,83.0,0.9273648420537736,251.56,5.089576547231275
default__bug-localization-by-dnn-and-rvsm_default_002,2025-11-18T20:53:53.350873,bug-localization-by-dnn-and-rvsm,default,False,True,916.159386396408,0,Training completed successfully,1e-05,,,,10.0,,10000.0,42.0,,,,,,,,,,,,,,,,,,59638.9,2260.94,61899.84,74.01269480519488,84.11,44.41,22795.910000000025,53.07142857142857,63.0,0.6428571428571429,3.0,default,0.0,,,,,,,,,,10000.0,1e-05,0.6428571428571429,63.0,0.9634742189963659,39.7,9.92857142857143
default__pytorch_resnet_cifar10_resnet20_003,2025-11-18T21:13:46.055005,pytorch_resnet_cifar10,resnet20,False,True,1132.6932728290558,0,Training completed successfully,,,,200.0,,0.1,,1334.0,0.0001,,91.71,,,,,,91.71,,,,,,,,,47985.6,3072.61,51058.21,224.61446769790723,247.6,69.53,246851.30000000005,76.2547770700637,79.0,59.75432211101001,73.0,default,0.0,,,,,,,,,,200.0,0.0001,59.75432211101001,79.0,0.9398214312644333,178.07,2.745222929936304
default__VulBERTa_mlp_004,2025-11-18T22:06:40.713330,VulBERTa,mlp,False,True,3114.086087703705,0,Training completed successfully,,,,10.0,,3e-05,,42.0,0.0,,,,,,,,,,,,,,,,,89815.23,7225.47,97040.7,239.40896801846327,318.86,4.72,726127.3999999991,78.19320804484009,83.0,89.93504780745137,100.0,default,0.0,,,,,,,,,,10.0,0.0,89.93504780745137,83.0,0.9255418602709997,314.14,4.806791955159909
default__Person_reID_baseline_pytorch_densenet121_005,2025-11-18T23:01:27.340848,Person_reID_baseline_pytorch,densenet121,False,True,3226.2696459293365,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.753173,,0.909145,0.96348,,,,,,,,,,,104651.9,8679.65,113331.55,237.7468260038235,290.61,11.67,746049.539999998,77.97673677501594,83.0,84.33556405353728,99.0,default,0.0,,,,,,,,,,60.0,,84.33556405353728,83.0,0.9234136478323997,278.94,5.023263224984063
default__Person_reID_baseline_pytorch_hrnet18_006,2025-11-19T00:13:04.690345,Person_reID_baseline_pytorch,hrnet18,False,True,4236.888918638229,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.748936,,0.900238,0.962886,,,,,,,,,,,132745.23,10850.82,143596.05,248.81575066698963,255.93,13.01,1025867.3399999982,81.33737569730779,83.0,67.2406015037594,80.0,default,0.0,,,,,,,,,,60.0,,67.2406015037594,83.0,0.9244351080687806,242.92000000000002,1.6626243026922083
default__Person_reID_baseline_pytorch_pcb_007,2025-11-19T01:25:45.050848,Person_reID_baseline_pytorch,pcb,False,True,4300.007735013962,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.775227,,0.924881,0.971496,,,,,,,,,,,142080.75,11084.26,153165.01,235.84919196748768,318.17,11.81,986557.170000001,79.8508247669137,84.0,96.90341859909157,100.0,default,0.0,,,,,,,,,,60.0,,96.90341859909157,84.0,0.9276319049631505,306.36,4.1491752330862965
default__examples_mnist_008,2025-11-19T01:29:07.726147,examples,mnist,False,True,142.67011833190918,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,96.0,0.1205,,,,,,,,4481.52,328.7,4810.22,96.49779411764705,98.68,76.53,13123.7,66.67647058823529,68.0,11.955882352941176,14.0,default,0.0,,,,,,,,,,10.0,,11.955882352941176,68.0,0.9316663271118577,22.150000000000006,1.32352941176471
default__examples_mnist_rnn_009,2025-11-19T01:33:54.313987,examples,mnist_rnn,False,True,226.5825743675232,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,60.0,1.3176,,,,,,,,9187.71,534.68,9722.39,9.96477064220185,85.98,4.12,2172.320000000004,52.91284403669725,64.0,0.0137614678899082,3.0,default,0.0,,,,,,,,,,10.0,,0.0137614678899082,64.0,0.9450052919086768,81.86,11.087155963302749
default__examples_siamese_011,2025-11-19T01:41:07.675831,examples,siamese,False,True,305.75993967056274,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,98.0,0.0,,,,,,,,9583.3,717.41,10300.71,175.39047297297296,180.85,71.21,51915.58,70.35810810810811,74.0,50.108108108108105,52.0,default,0.0,,,,,,,,,,10.0,,50.108108108108105,74.0,0.9303533445752769,109.64,3.6418918918918877
